protocol,ether_src_mac,ether_dst_mac,ip_src,ip_dst,ip_len,ip_flags_df,ip_flags_mf,ip_frag_offset,ip_id,ip_ttl,ip_proto,ip_checksum,tcp_window_size,tcp_ack,tcp_seq,tcp_len,tcp_stream,tcp_urgent_pointer,tcp_flags,tcp_analysis_ack_rtt,tcp_analysis_push_bytes_sent,tcp_analysis_bytes_in_flight,frame_time_relative,frame_time_delta,modbus_length,modbus_unit_id,modbus_func_code,modbus_data,attack_specific,attack_category,attack_obj,attack_binary
MODBUS,4e:d1:fa:b3:e4:46,3a:28:b4:02:e8:91,192.168.0.13,192.168.0.21,63,1,0,0,0xe596,64,6,0xd3af,509,349,309,11,2,0,0x0018,0.000721449,11,11,14.180424355,0.000721449,N/A,N/A,4,020079,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,4e:d1:fa:b3:e4:46,192.168.0.21,192.168.0.13,52,1,0,0,0xee71,64,6,0xcadf,502,320,349,0,2,0,0x0010,0.000017152,N/A,N/A,14.180441507,0.000017152,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xf08a,64,6,0xc8bb,502,782,853,12,0,0,0x0018,N/A,12,12,14.296016133,0.115574626,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa693,64,6,0x12b4,509,865,782,11,0,0,0x0018,0.000676827,11,11,14.296692960,0.000676827,N/A,N/A,4,020079,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xf08b,64,6,0xc8c6,502,793,865,0,0,0,0x0010,0.000017021,N/A,N/A,14.296709981,0.000017021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xf08c,64,6,0xc8b9,502,793,865,12,0,0,0x0018,N/A,12,12,14.497456024,0.200746043,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa694,64,6,0x12b3,509,877,793,11,0,0,0x0018,0.000758879,11,11,14.498214903,0.000758879,N/A,N/A,4,020079,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xf08d,64,6,0xc8c4,502,804,877,0,0,0,0x0010,0.000017022,N/A,N/A,14.498231925,0.000017022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,4e:d1:fa:b3:e4:46,192.168.0.21,192.168.0.13,64,1,0,0,0xee72,64,6,0xcad2,502,320,349,12,2,0,0x0018,N/A,12,12,14.681339608,0.183107683,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,4e:d1:fa:b3:e4:46,3a:28:b4:02:e8:91,192.168.0.13,192.168.0.21,63,1,0,0,0xe597,64,6,0xd3ae,509,361,320,11,2,0,0x0018,0.000687617,11,11,14.682027225,0.000687617,N/A,N/A,4,020079,N/A,N/A,N/A,0
